client_id,client_type,full_name,company_name,gender,date_of_birth,national_id,tax_registration_number,phone_number,email,city,address,employment_status,industry,monthly_income_tnd,annual_revenue_tnd,risk_profile,current_insurance_status,created_at
CL0001,Individual,Mohamed Nasr,,Male,1975-04-05,23756669,,+21631668732,mohamednasr5@outlook.com,Béja,8 Rue de la République,Unemployed,Energy,5667,,Medium,Active,2016-09-07
CL0002,Individual,Salma Ben Amor,,Female,1997-05-26,10872248,,+21665667651,salmabenamor28@yahoo.fr,Bizerte,87 Rue de la République,Employed,Energy,4662,,Low,Active,2017-06-28
CL0003,Individual,Nadia Saidi,,Female,1962-12-15,81971316,,+21694093639,nadiasaidi47@topnet.tn,Bizerte,148 Avenue Mohamed V,Employed,Manufacturing,1845,,High,Active,2016-11-08
CL0004,Individual,Sonia Haddad,,Female,1966-07-09,70855700,,+21641831063,soniahaddad27@hotmail.com,Nabeul,69 Avenue de l'Indépendance,Unemployed,Media,4188,,High,Pending,2017-10-21
CL0005,Individual,Sabri Bouaziz,,Male,1970-08-13,46231783,,+21649476249,sabribouaziz99@hotmail.com,Médenine,15 Avenue Mohamed V,Unemployed,Energy,5762,,Low,Active,2022-05-03
CL0006,Individual,Lotfi Fehri,,Male,1973-11-16,63100814,,+21655551614,lotfifehri96@yahoo.fr,Sousse,144 Rue du Lac Windermere,Unemployed,Logistics,2370,,Medium,None,2022-10-13
CL0007,Individual,Salma Jebali,,Female,1992-08-03,16323852,,+21641472420,salmajebali77@outlook.com,Jendouba,17 Rue des Roses,Employed,IT,6340,,Medium,Pending,2023-09-09
CL0008,Individual,Oussama Zouari,,Male,1994-05-25,96028436,,+21678353204,oussamazouari1@outlook.com,Sousse,68 Rue du Lac Windermere,Self-Employed,Healthcare,3604,,High,Active,2017-11-10
CL0009,Individual,Nizar Turki,,Male,1970-09-25,81182864,,+21685579548,nizarturki47@gmail.com,Tunis,79 Avenue Mohamed V,Employed,Agriculture,3855,,Low,Active,2017-02-24
CL0010,Individual,Sonia Hadhri,,Female,1968-03-22,73791320,,+21690823176,soniahadhri55@topnet.tn,Siliana,55 Rue de la Paix,Unemployed,IT,3371,,Medium,None,2019-12-10
CL0011,Individual,Houda Turki,,Female,1988-09-15,26240908,,+21665377076,houdaturki71@topnet.tn,Tunis,59 Cité Sportive,Employed,Retail,1724,,Medium,Active,2017-12-21
CL0012,Individual,Yassine Boughanmi,,Male,1962-06-03,79008866,,+21685151231,yassineboughanmi17@topnet.tn,Ariana,147 Cité Sportive,Employed,Education,6680,,Medium,Active,2023-07-07
CL0013,Individual,Karim Belhadj,,Male,1982-07-14,72682989,,+21633209423,karimbelhadj94@outlook.com,Tunis,87 Rue Farhat Hached,Unemployed,Finance,6716,,Low,Active,2019-04-18
CL0014,Individual,Rania Belhadj,,Female,1971-05-15,43528453,,+21693863413,raniabelhadj84@gmail.com,Sfax,139 Avenue de Carthage,Employed,Logistics,7819,,Low,Active,2019-03-14
CL0015,Individual,Raoudha Ghribi,,Female,1985-01-06,60864911,,+21681070189,raoudhaghribi90@outlook.com,Bizerte,143 Rue des Orangers,Employed,Manufacturing,3372,,High,Expired,2018-04-10
CL0016,Individual,Ahmed Hadhri,,Male,1963-12-11,17672593,,+21687491435,ahmedhadhri21@topnet.tn,Zaghouan,15 Rue du Lac Windermere,Employed,Agriculture,5105,,Low,Active,2017-10-03
CL0017,Individual,Slim Zouari,,Male,1996-04-19,89795010,,+21676267415,slimzouari73@topnet.tn,Médenine,134 Avenue de la Liberté,Employed,Agriculture,1871,,Medium,Active,2021-04-09
CL0018,Individual,Rania Mejri,,Female,1989-06-25,19736572,,+21695563727,raniamejri69@gmail.com,Sfax,55 Rue du Lac Windermere,Employed,Logistics,6288,,Medium,Active,2021-02-08
CL0019,Individual,Rim Ayari,,Female,1988-09-23,50603163,,+21690993218,rimayari39@topnet.tn,Tunis,27 Rue de la Paix,Unemployed,Real Estate,6557,,Low,Active,2017-02-24
CL0020,Individual,Bilel Khelil,,Male,1998-04-23,56020613,,+21655431319,bilelkhelil33@outlook.com,Kairouan,14 Rue de la République,Employed,Telecom,6395,,High,Active,2020-01-01
CL0021,Individual,Yasmine Jebali,,Female,2000-05-06,69302158,,+21695283645,yasminejebali10@gmail.com,Tunis,39 Rue du Lac Windermere,Unemployed,Energy,4703,,Low,Active,2018-07-05
CL0022,Individual,Amine Turki,,Male,1962-06-07,43491314,,+21695146293,amineturki80@outlook.com,Zaghouan,40 Rue de la Paix,Unemployed,Healthcare,4097,,Medium,Active,2018-07-01
CL0023,Individual,Anis Mabrouk,,Male,1986-11-28,43308443,,+21634508349,anismabrouk61@gmail.com,Monastir,57 Avenue Mohamed V,Self-Employed,IT,7650,,Medium,Active,2020-04-08
CL0024,Individual,Oussama Maaloul,,Male,1985-06-09,19317495,,+21688371272,oussamamaaloul43@topnet.tn,Monastir,8 Rue de la République,Self-Employed,Construction,6455,,Medium,Active,2020-01-04
CL0025,Individual,Emna Fehri,,Female,1987-10-17,25521714,,+21654188276,emnafehri1@outlook.com,Tunis,134 Rue de la Paix,Self-Employed,Agriculture,2757,,Medium,Pending,2019-06-14
CL0026,Individual,Oussama Mabrouk,,Male,1999-06-22,26726926,,+21661511484,oussamamabrouk42@outlook.com,Médenine,104 Avenue de l'Indépendance,Unemployed,Education,5354,,Medium,Expired,2018-04-14
CL0027,Individual,Houda Ben Youssef,,Female,1999-10-10,64502486,,+21660785405,houdabenyoussef56@yahoo.fr,Bizerte,149 Cité Sportive,Unemployed,Media,1203,,High,Active,2023-08-15
CL0028,Individual,Adel Zghal,,Male,1970-11-03,48089166,,+21664988206,adelzghal87@yahoo.fr,Sfax,80 Avenue Mohamed V,Unemployed,Telecom,6385,,Medium,Active,2016-01-08
CL0029,Individual,Nadia Boughanmi,,Female,1989-07-21,87265240,,+21671536717,nadiaboughanmi32@outlook.com,Gafsa,38 Rue des Orangers,Employed,Energy,6904,,High,Active,2017-07-08
CL0030,Individual,Wassim Boujelbene,,Male,1989-01-18,43446826,,+21682363359,wassimboujelbene72@topnet.tn,Médenine,82 Rue Farhat Hached,Employed,Logistics,2292,,Medium,Pending,2022-09-15
CL0031,Individual,Anis Zghal,,Male,1988-05-25,43183955,,+21689967676,aniszghal36@yahoo.fr,Gafsa,113 Rue de la République,Unemployed,Education,7473,,High,Active,2019-05-11
CL0032,Individual,Wafa Karray,,Female,1968-03-08,61410126,,+21648716269,wafakarray53@outlook.com,Sfax,85 Rue du Lac Windermere,Unemployed,IT,6986,,Medium,Active,2016-04-27
CL0033,Individual,Hela Trabelsi,,Female,1996-07-16,10791358,,+21672343121,helatrabelsi69@outlook.com,Siliana,140 Rue Farhat Hached,Self-Employed,Education,7372,,Medium,Active,2023-04-09
CL0034,Individual,Raoudha Trabelsi,,Female,1984-06-22,64266464,,+21637129912,raoudhatrabelsi4@topnet.tn,Béja,101 Cité Sportive,Unemployed,IT,5028,,Medium,Pending,2016-02-21
CL0035,Individual,Rania Riahi,,Female,1971-01-09,60882459,,+21663868501,raniariahi36@outlook.com,Nabeul,108 Rue Tahar Haddad,Self-Employed,Retail,4924,,Low,Expired,2016-12-18
CL0036,Individual,Riadh Haddad,,Male,1964-11-02,14164775,,+21640452412,riadhhaddad61@yahoo.fr,Ariana,30 Cité Sportive,Employed,Retail,1366,,Medium,Expired,2020-06-06
CL0037,Individual,Khaled Ayari,,Male,1979-02-19,13446499,,+21670372847,khaledayari10@yahoo.fr,Monastir,63 Rue de la République,Self-Employed,Agriculture,6748,,High,None,2020-11-20
CL0038,Individual,Lotfi Chaabane,,Male,1982-09-14,98787891,,+21665799273,lotfichaabane63@outlook.com,Tunis,28 Rue des Roses,Self-Employed,Healthcare,5344,,Medium,Pending,2023-12-05
CL0039,Individual,Dorra Boujelbene,,Female,1977-10-26,82232344,,+21699520597,dorraboujelbene32@hotmail.com,Bizerte,23 Rue Tahar Haddad,Self-Employed,Logistics,4768,,Medium,Active,2023-10-20
CL0040,Individual,Asma Trabelsi,,Female,1991-06-06,75437844,,+21654675473,asmatrabelsi77@hotmail.com,Nabeul,71 Rue du Lac Windermere,Employed,Construction,7735,,Low,Expired,2019-02-08
CL0041,Individual,Raoudha Bouaziz,,Female,1990-11-23,75876924,,+21632489409,raoudhabouaziz52@yahoo.fr,Bizerte,63 Rue Tahar Haddad,Self-Employed,Real Estate,1341,,High,Expired,2021-08-18
CL0042,Individual,Mariem Mabrouk,,Female,1982-12-15,46361787,,+21636194158,mariemmabrouk41@yahoo.fr,Gabès,31 Avenue de l'Indépendance,Self-Employed,Education,3088,,Medium,None,2018-04-07
CL0043,Individual,Nesrine Boujelbene,,Female,1998-05-04,36054020,,+21644084236,nesrineboujelbene91@gmail.com,Bizerte,137 Rue Ibn Khaldoun,Self-Employed,Retail,4156,,Medium,Active,2016-09-10
CL0044,Individual,Mehdi Oueslati,,Male,1966-01-19,48163378,,+21665728776,mehdioueslati33@gmail.com,Sousse,123 Rue de la République,Self-Employed,Logistics,4808,,Low,Active,2023-02-19
CL0045,Individual,Nizar Chokri,,Male,1996-05-03,43311626,,+21675857931,nizarchokri80@topnet.tn,Béja,58 Rue Farhat Hached,Employed,Tourism,7462,,Medium,Active,2023-08-10
CL0046,Individual,Rim Mansouri,,Female,1999-12-04,37888820,,+21630896797,rimmansouri23@yahoo.fr,Sousse,142 Rue de la République,Unemployed,Retail,3367,,Low,Active,2022-08-23
CL0047,Individual,Rim Chaabane,,Female,1974-05-23,47945817,,+21629553585,rimchaabane34@yahoo.fr,Médenine,51 Rue des Roses,Unemployed,Media,4919,,Low,Expired,2019-11-05
CL0048,Individual,Rania Boughanmi,,Female,1963-03-26,51286958,,+21696397676,raniaboughanmi57@hotmail.com,Zaghouan,32 Avenue de la Corniche,Unemployed,Energy,7952,,High,Active,2022-05-17
CL0049,Individual,Olfa Karray,,Female,1998-01-14,53261270,,+21632257687,olfakarray76@topnet.tn,Ariana,6 Rue Farhat Hached,Unemployed,Education,1411,,High,Active,2016-03-16
CL0050,Individual,Nesrine Ben Youssef,,Female,1997-07-21,75998319,,+21674807553,nesrinebenyoussef86@hotmail.com,Nabeul,27 Avenue de Carthage,Employed,Logistics,4050,,Low,Active,2022-12-16
CL0051,Individual,Houda Jaziri,,Female,1995-01-15,21819185,,+21635558733,houdajaziri66@outlook.com,Jendouba,1 Rue des Orangers,Self-Employed,Education,3848,,Medium,Expired,2022-01-07
CL0052,Individual,Nadia Oueslati,,Female,2000-08-25,16927215,,+21637584297,nadiaoueslati57@hotmail.com,Zaghouan,125 Rue de la République,Employed,Education,5699,,Low,Pending,2019-12-06
CL0053,Individual,Wafa Ben Salah,,Female,1995-07-03,40158811,,+21640665654,wafabensalah66@hotmail.com,Gafsa,70 Rue des Roses,Employed,Logistics,2162,,Medium,Expired,2019-08-18
CL0054,Individual,Slim Maaloul,,Male,1998-09-24,28321839,,+21675692629,slimmaaloul35@topnet.tn,Nabeul,1 Rue Tahar Haddad,Employed,Education,7529,,High,Active,2023-03-15
CL0055,Individual,Emna Mabrouk,,Female,1995-09-13,71115319,,+21652051937,emnamabrouk30@outlook.com,Béja,106 Avenue Habib Bourguiba,Self-Employed,Media,2745,,Medium,None,2023-12-26
CL0056,Individual,Hela Chokri,,Female,1991-01-05,77416376,,+21679096899,helachokri59@topnet.tn,Sfax,4 Avenue de l'Indépendance,Unemployed,Construction,2022,,Low,Active,2018-02-16
CL0057,Individual,Asma Jaziri,,Female,1965-06-28,81621574,,+21685491202,asmajaziri5@topnet.tn,Siliana,18 Avenue Mohamed V,Self-Employed,Construction,6334,,High,Pending,2020-04-24
CL0058,Individual,Tarek Hamrouni,,Male,2000-12-28,23489853,,+21660193656,tarekhamrouni6@gmail.com,Zaghouan,84 Rue Farhat Hached,Self-Employed,IT,6885,,Low,Active,2021-06-14
CL0059,Individual,Yassine Boujelbene,,Male,1986-10-22,34166826,,+21671344226,yassineboujelbene64@yahoo.fr,Béja,150 Rue Ibn Khaldoun,Employed,IT,1846,,Medium,Expired,2020-08-09
CL0060,Individual,Zied Khelil,,Male,1994-03-03,69287967,,+21676949781,ziedkhelil59@hotmail.com,Gabès,78 Avenue Mohamed V,Self-Employed,Agriculture,3650,,Medium,Expired,2017-04-13
CL0061,Individual,Zohra Khelil,,Female,1978-01-27,98346110,,+21695957706,zohrakhelil78@gmail.com,Siliana,128 Avenue de Carthage,Self-Employed,Education,1266,,Medium,None,2019-10-26
CL0062,Individual,Salma Maaloul,,Female,1999-05-22,98473848,,+21633041121,salmamaaloul40@gmail.com,Zaghouan,113 Avenue Habib Bourguiba,Unemployed,Media,2320,,Medium,Active,2018-02-10
CL0063,Individual,Chaima Ghanmi,,Female,1971-04-05,82398083,,+21656578001,chaimaghanmi33@yahoo.fr,Siliana,124 Rue Farhat Hached,Self-Employed,Tourism,5310,,Medium,None,2021-02-15
CL0064,Individual,Nizar Haddad,,Male,1985-09-12,22120246,,+21692017516,nizarhaddad48@outlook.com,Sfax,68 Cité Sportive,Self-Employed,Finance,3366,,Medium,Pending,2021-02-22
CL0065,Individual,Fares Trabelsi,,Male,1999-09-11,91883846,,+21682312933,farestrabelsi84@hotmail.com,Zaghouan,105 Rue de la République,Employed,Telecom,1717,,Low,Active,2016-05-16
CL0066,Individual,Karim Bouaziz,,Male,1994-03-13,70887034,,+21692503409,karimbouaziz96@topnet.tn,Monastir,40 Rue de la Paix,Self-Employed,Telecom,7287,,Medium,Pending,2017-08-20
CL0067,Individual,Nesrine Chaabane,,Female,1983-04-15,69686067,,+21633335151,nesrinechaabane70@hotmail.com,Médenine,92 Avenue Habib Bourguiba,Employed,Media,4171,,Medium,Active,2019-02-28
CL0068,Individual,Sonia Ghribi,,Female,2000-10-01,16788532,,+21695776373,soniaghribi98@gmail.com,Ariana,142 Avenue Mohamed V,Self-Employed,Retail,2231,,Medium,Active,2019-06-25
CL0069,Individual,Jawher Ben Salah,,Male,1977-03-05,82506491,,+21634754064,jawherbensalah17@gmail.com,Médenine,4 Avenue de la Liberté,Self-Employed,Real Estate,2629,,Medium,Pending,2021-01-06
CL0070,Individual,Leila Jebali,,Female,1986-09-04,18530615,,+21668592048,leilajebali14@topnet.tn,Kairouan,116 Rue du Lac Windermere,Self-Employed,Logistics,7573,,Medium,Pending,2016-12-26
CL0071,Individual,Olfa Trabelsi,,Female,1963-08-28,63904155,,+21685802771,olfatrabelsi10@outlook.com,Gabès,21 Avenue de la Liberté,Self-Employed,Telecom,2084,,Medium,Active,2017-03-09
CL0072,Individual,Hela Boujelbene,,Female,1978-08-17,91259008,,+21635356396,helaboujelbene93@topnet.tn,Siliana,56 Rue des Roses,Self-Employed,Healthcare,7697,,Medium,Active,2022-06-27
CL0073,Individual,Hela Ghanmi,,Female,1966-06-14,51946203,,+21640486849,helaghanmi9@outlook.com,Médenine,24 Avenue de Carthage,Unemployed,Education,4266,,Low,Active,2022-02-24
CL0074,Individual,Rania Mansouri,,Female,1997-09-18,54244334,,+21667459130,raniamansouri93@outlook.com,Siliana,14 Rue Tahar Haddad,Unemployed,Healthcare,4565,,Medium,Active,2021-02-19
CL0075,Individual,Nizar Zghal,,Male,1974-02-12,84660688,,+21657388792,nizarzghal55@yahoo.fr,Béja,144 Rue Farhat Hached,Self-Employed,Healthcare,7447,,Medium,Pending,2016-10-22
CL0076,Individual,Fatima Ben Youssef,,Female,1977-12-25,51471222,,+21644347841,fatimabenyoussef73@yahoo.fr,Siliana,103 Rue de la République,Self-Employed,Construction,1250,,Low,None,2016-02-24
CL0077,Individual,Slim Ghanmi,,Male,1989-06-06,59667685,,+21696181117,slimghanmi7@gmail.com,Béja,40 Rue Ibn Khaldoun,Self-Employed,Energy,3857,,High,Pending,2016-11-03
CL0078,Individual,Olfa Belhadj,,Female,1991-10-15,65590800,,+21688765957,olfabelhadj56@hotmail.com,Sfax,29 Rue Tahar Haddad,Self-Employed,Retail,7384,,High,Pending,2023-09-22
CL0079,Individual,Leila Haddad,,Female,1985-10-02,11031743,,+21638419343,leilahaddad38@hotmail.com,Jendouba,84 Rue de la République,Employed,Education,2930,,Low,Expired,2022-03-05
CL0080,Individual,Wafa Haddad,,Female,1992-09-27,99663907,,+21625677713,wafahaddad59@gmail.com,Monastir,20 Avenue de Carthage,Self-Employed,Healthcare,4452,,Medium,Expired,2022-10-13
CL0081,Individual,Rim Zouari,,Female,1985-01-11,33068427,,+21668567046,rimzouari14@outlook.com,Sfax,63 Rue des Roses,Unemployed,Logistics,6849,,Medium,Active,2017-07-28
CL0082,Individual,Chaima Mabrouk,,Female,1974-06-25,32566390,,+21635304396,chaimamabrouk25@topnet.tn,Kairouan,90 Avenue de la Liberté,Employed,Tourism,6387,,High,Pending,2018-04-04
CL0083,Individual,Bilel Maaloul,,Male,1971-10-05,97980930,,+21686319264,bilelmaaloul98@topnet.tn,Gafsa,149 Avenue de la Corniche,Employed,IT,7531,,High,Expired,2021-11-11
CL0084,Individual,Zied Boughanmi,,Male,1990-08-21,50643870,,+21667236885,ziedboughanmi40@gmail.com,Kairouan,119 Avenue de la Corniche,Self-Employed,Agriculture,1660,,Low,Active,2021-05-03
CL0085,Individual,Jawher Hammami,,Male,1984-08-19,84399083,,+21696726461,jawherhammami42@yahoo.fr,Médenine,122 Rue du Lac Windermere,Unemployed,Finance,4884,,Low,Active,2023-02-26
CL0086,Individual,Ahlem Karray,,Female,1992-11-06,15253567,,+21678978194,ahlemkarray79@topnet.tn,Kairouan,41 Avenue de la Liberté,Employed,Energy,4786,,Medium,Active,2022-07-25
CL0087,Individual,Houda Mansouri,,Female,2000-11-11,18846539,,+21671883769,houdamansouri93@hotmail.com,Bizerte,39 Avenue de la Liberté,Self-Employed,Healthcare,5770,,Low,Expired,2018-06-10
CL0088,Individual,Rania Karray,,Female,1979-09-13,96368203,,+21690651318,raniakarray66@outlook.com,Sfax,93 Avenue Habib Bourguiba,Self-Employed,Media,2246,,Medium,Active,2018-04-11
CL0089,Individual,Ines Haddad,,Female,1968-03-03,49700543,,+21692446804,ineshaddad5@topnet.tn,Siliana,87 Rue de la Paix,Employed,Tourism,7515,,High,Pending,2018-10-13
CL0090,Individual,Walid Ben Youssef,,Male,1999-03-24,68743530,,+21651880763,walidbenyoussef37@topnet.tn,Gafsa,115 Avenue Mohamed V,Employed,Manufacturing,4184,,Medium,Active,2020-08-27
CL0091,Company,,Compagnie Médenine Logistique,NA,,,TN8391997,+21657818761,compagnie65@outlook.com,Jendouba,136 Rue des Roses,Company,Tourism,,13109036,Low,Active,2018-05-02
CL0092,Company,,Coopérative Kairouan Logistique,NA,,,TN2721170,+21689244185,coopérative37@gmail.com,Siliana,22 Rue Farhat Hached,Company,Pharmaceutical,,14391717,Low,Active,2023-09-05
CL0093,Company,,Holding Zaghouan Industrielle,NA,,,TN4725179,+21666920514,holding54@gmail.com,Zaghouan,14 Rue des Roses,Company,Real Estate,,7768671,Medium,Active,2019-07-03
CL0094,Company,,Agence Tunis Médicale,NA,,,TN6346644,+21665001909,agence18@yahoo.fr,Jendouba,10 Rue Tahar Haddad,Company,Construction,,14279041,Medium,Pending,2018-12-16
CL0095,Company,,Coopérative Tunis du Commerce,NA,,,TN2329187,+21648944689,coopérative71@yahoo.fr,Siliana,136 Rue des Roses,Company,IT,,4493691,Low,None,2020-04-10
CL0096,Company,,Groupe Ariana de Technologies,NA,,,TN8043503,+21681352751,groupe64@gmail.com,Sfax,138 Avenue Habib Bourguiba,Company,Energy,,13519416,High,Expired,2019-12-05
CL0097,Company,,Cabinet Tunis Touristique,NA,,,TN6919270,+21675910756,cabinet68@gmail.com,Sousse,93 Rue de la République,Company,Retail,,9774148,Medium,Expired,2016-07-28
CL0098,Company,,Coopérative Médenine de Technologies,NA,,,TN7490791,+21622179995,coopérative45@gmail.com,Nabeul,62 Avenue de l'Indépendance,Company,Finance,,4455545,High,Pending,2017-10-24
CL0099,Company,,Agence Tunis de Construction,NA,,,TN6910597,+21643500064,agence90@outlook.com,Siliana,123 Rue des Orangers,Company,Agriculture,,5879880,Low,Active,2017-12-25
CL0100,Company,,Coopérative Bizerte de Technologies,NA,,,TN4382135,+21646772387,coopérative41@gmail.com,Zaghouan,80 Rue du Lac Windermere,Company,IT,,13472610,Medium,Expired,2023-05-02
CL0101,Company,,Compagnie Nabeul de Services,NA,,,TN1802018,+21664550177,compagnie48@gmail.com,Bizerte,112 Rue de la Paix,Company,Real Estate,,11201346,Medium,None,2023-07-11
CL0102,Company,,Entreprise Gabès Agricole,NA,,,TN9347057,+21689696025,entreprise94@gmail.com,Bizerte,109 Rue de la République,Company,Finance,,13576321,Medium,Pending,2018-09-10
CL0103,Company,,Agence Sfax Industrielle,NA,,,TN6501583,+21661137177,agence92@topnet.tn,Gafsa,110 Rue Ibn Khaldoun,Company,Energy,,5160015,High,Expired,2021-08-02
CL0104,Company,,Agence Monastir du Commerce,NA,,,TN5606274,+21627698469,agence47@outlook.com,Sfax,132 Rue Farhat Hached,Company,Energy,,13478794,High,Pending,2018-01-05
CL0105,Company,,Coopérative Sousse de Technologies,NA,,,TN2127988,+21669167775,coopérative73@outlook.com,Nabeul,9 Cité Sportive,Company,Retail,,13261320,Low,Pending,2023-06-12
CL0106,Company,,Coopérative Sfax Immobilière,NA,,,TN3310140,+21673423225,coopérative32@hotmail.com,Nabeul,30 Avenue Habib Bourguiba,Company,Agriculture,,6356398,High,Active,2023-09-13
CL0107,Company,,Centre Bizerte Industrielle,NA,,,TN5366937,+21648799154,centre89@hotmail.com,Béja,126 Avenue Mohamed V,Company,Pharmaceutical,,7687220,Low,Active,2017-08-06
CL0108,Company,,Coopérative Jendouba Industrielle,NA,,,TN6361793,+21628715975,coopérative38@topnet.tn,Kairouan,77 Avenue de Carthage,Company,Energy,,6028829,Low,None,2018-06-17
CL0109,Company,,Compagnie Ariana Industrielle,NA,,,TN3329967,+21686306502,compagnie71@hotmail.com,Tunis,147 Avenue de la Liberté,Company,Retail,,13460259,Medium,Expired,2018-10-03
CL0110,Company,,Groupe Monastir de Services,NA,,,TN9030667,+21674953237,groupe10@topnet.tn,Siliana,33 Avenue de la Liberté,Company,Agriculture,,7091998,High,Active,2023-08-22
CL0111,Company,,Centre Sousse Logistique,NA,,,TN4052834,+21678065043,centre16@gmail.com,Kairouan,133 Rue Ibn Khaldoun,Company,Food & Beverage,,2364813,Medium,Active,2018-06-23
